"pm2.5","pm10","nox","so2","co","o3"
68.75,92.25,17.3,6.9,1.19,15.4
66.25,75.75,11.75,7.8,1.25,14.3
56.5,81.75,14.05,7.38,1.18,15.2
41,NA,14.5,6.47,0.92,15.5
40.33,97.33,14.3,7.03,1.3,14.63
48,89.75,13,9.55,2.02,14.55
53.5,111.75,12.57,6.72,1.26,14.27
52.25,124.75,13.13,4.9,1.08,15.1
54,87,11.57,5.13,1.07,14.9
48.25,87.5,10.95,5.65,0.75,14.6
45.25,73.5,11.15,6,0.59,14.4
41,46,9.9,6.08,0.49,14.6
44,70.5,9.85,5.7,0.38,15.42
43.25,64.25,10.65,5.6,0.3,15.8
41.25,65.5,16.88,4.2,0.52,37.58
37,81.5,15.25,6.62,0.62,17.52
38.75,54.25,13.18,8.45,1.03,14.88
44.75,58.5,13.8,8.45,0.89,14.82
47.25,97.25,18.77,5.28,0.82,26.6
39.25,100,17.4,4.05,0.78,15.6
30.75,52,13.05,4.78,0.82,15.07
24.67,31.5,14.78,5.62,0.9,15.93
33.25,50.5,14.03,6.4,0.93,15.6
36.33,42.67,13.8,6.25,0.89,14.95
32,67.5,12.68,6.4,0.76,14.95
32.25,69.75,12.65,7.95,1,15.3
41.5,72.25,15.9,7.95,1.33,24.35
40.5,64.5,19.35,6.18,1.1,30.62
41.25,64.75,19.88,5.72,1.19,20
44.75,80.5,14.4,6.3,1.4,11.68
45,98.25,13.48,8.07,1.4,15.05
47.75,91,13.78,9.23,1.35,16.2
49,88.5,12.5,8.3,1.18,15.85
49.25,108,13.57,8.47,1.21,15.6
45.5,108.75,14.72,7.7,1.1,16.93
43.75,90,15.17,7.88,0.87,15.92
42.25,70.25,14.88,5.28,0.77,16.45
38.75,56.25,14.95,5.97,0.62,16.35
35.75,71,14.67,5.95,0.57,16.08
35.75,77.75,15.22,8.12,0.89,15.72
42.25,98.75,15.78,9.62,0.69,19.8
49.5,94.25,17.18,8.28,0.59,19.4
53,105.75,17.15,6.95,0.71,19.35
51.67,76,17.17,6.3,0.67,16.43
56.25,103.25,15.15,5.62,0.9,14.45
65.75,140.5,13.7,5.68,0.79,15.55
76,114.75,13.4,6.42,0.88,15.65
76.25,114,13.5,5.85,0.85,16.4
75.67,99.67,14.13,7.62,0.92,15.13
58,72,13.83,7.38,0.76,15.28
36.25,54.75,12.85,8.1,1.04,15.1
40.5,97.75,11.05,6.9,1.88,14.98
48.5,67.5,12.3,9.5,2.73,15.18
65.5,122.5,10.32,9.7,2.82,14.4
65,153,11.22,9.8,2.79,14.85
70.75,111.5,9.98,9.82,2.19,14.55
73.67,121.33,11.2,9.27,1.58,15.5
70,99.25,10.93,4.85,0.88,15.47
56,93,8.97,4.52,0.46,15.03
47,87.5,10.18,4.28,0.57,16.12
52.75,107.5,10.57,5.3,0.67,15.82
70,119,11.25,4.07,0.47,16.08
52.33,70,11.37,4,0.55,15.35
54.75,89.5,10.17,8.45,0.83,14.58
71,92.33,11.1,9.4,1.06,18.3
86.25,118.25,18.2,7.45,1.2,27.12
96,143,17.15,8.65,1.66,41.9
103.5,192.25,12.48,8.43,1.41,24.25
122,187.5,12.7,9.85,1.23,17.12
104.25,144.5,13.2,7.75,0.87,18.02
91.75,145.5,12.43,8.03,0.81,18.35
85.5,113.5,12.35,7.25,0.85,19.52
73,75,11.12,6.78,0.94,18.9
40,46,13.32,7.75,1.3,18.38
42,62,10.82,7.15,1.14,18.75
41,84,11.3,6.15,1.21,17.18
38.33,61.33,11.12,7.47,1.72,18.58
64,67,10.88,9.57,2.1,17.62
71.25,101.25,12.22,7.62,1.73,15.45
70,102,13.72,6.28,1.39,18.95
76.33,135,14.93,5.2,0.9,19.53
65.75,109.25,14.95,5.17,0.49,19.35
55,87,14.5,5,0.34,18.8
57,61,15.07,5.53,0.34,18.9
65,NA,14.78,6.48,0.29,18.15
40,NA,14.03,6.17,0.23,18.5
33.67,55.67,14.43,6.57,0.38,17.57
33.5,41.25,14.2,6.38,0.42,17.98
40.25,89,14.57,7.43,0.63,17.8
43.5,84,14.97,7.78,0.8,18.18
45.5,113.5,14.75,7.6,0.92,17.55
46,110,14.93,8.03,0.9,17
43.5,70.75,15.5,6.75,0.76,17.73
41,103.25,15.45,4.65,0.79,17.23
47.25,67.25,15.28,3.62,0.84,17.4
49.75,78.75,13.5,3.58,0.79,16.62
44.67,56.67,13.05,5.55,0.75,16.82
47,62.5,13.28,6.17,0.51,17.12
45.5,76.25,12.23,7.45,0.95,16.4
44.75,63,13.33,7,1.21,16.1
50,88,12.03,7.12,1.21,16.7
66.75,99.75,11.95,7.35,2.09,16.32
78,155.75,18.8,6.75,3,29.07
95,311.5,15.28,8.65,3.94,15.22
102.67,346.33,15.4,8.07,3.26,17.77
98.25,280,16.73,8.02,2.98,17.05
93.75,285.25,16.98,7.2,2.8,16
88.5,232,17.25,7.85,2.67,16.2
81.25,167.25,17.18,8.62,2.27,15.7
76.75,193.25,17.4,8.12,1.47,15.5
56.33,130.25,15.6,5.2,0.24,16.15
NA,23,15.25,7.3,0.2,16.3
17,26,15.48,7,0.36,16.73
13.5,39.33,16.1,7.02,0.5,17.2
16,40.5,17.1,6.4,0.62,17.7
NA,NA,16.35,6.42,0.64,17.38
15,22,17.07,6.12,0.49,16.8
12,39,16.95,5.7,0.47,15.88
57.25,101.25,15.62,6.03,0.75,16.3
35.5,102.75,14.78,5.92,0.54,16.5
86,136.75,15.52,6.22,0.83,16.9
88.5,147.5,15.75,6.8,0.84,17.27
99.5,144,15.77,7.58,1.05,16.23
136.67,169.33,15.47,5.35,1.22,16.8
93.25,125.5,14.68,6.05,1.6,16.25
42.25,146.25,15.43,6.43,1.58,16.57
61.33,134.67,14.8,8.72,2.37,16.4
93,228.5,15.08,11.4,4.27,16.35
66,160.33,16.97,9.7,3.74,18.53
109,190.25,16.5,7.93,3.51,15.2
87,199.25,13.25,12.43,4.06,14.85
140.5,296,12.38,10.45,3.76,15.4
159,274.25,11.82,9.3,3.94,15.25
152.25,330.25,12.07,10.12,3.4,15.82
145.25,261.75,12.3,10.2,2.94,15.72
140,187.75,12.05,8.55,2.57,15.47
102,146.75,14.62,6.1,1.39,21.7
67.67,97,16.92,4.38,1.1,26.73
69,77,15.45,6.05,1.19,16.18
75.33,83,14.3,6.52,1.04,18.6
88.75,120,14.67,6.03,0.88,17.38
87.5,136.75,13.58,5.6,0.73,16.85
72.25,88,13.52,5.95,0.7,16.62
61.67,104,15,6.12,0.58,17.5
62.5,123,14.45,7.08,0.86,16.62
NA,NA,14.45,7.08,1.62,16.35
69.5,78,15.68,6.78,1.47,17.08
65,71,14.17,7.48,1.39,16.57
67.75,91,14.82,7.4,1.32,17.2
62,133,13.25,8.18,1.61,16.07
73.25,123.75,12.9,7.38,1.73,15.9
87.5,140.75,13.88,5.4,0.94,16.7
74,116,11.85,5.7,0.94,17.45
38.75,67.5,13.45,8,0.88,17.15
76.5,107,13.07,8.03,0.5,16.93
69,127.25,14.05,7.43,0.38,16.9
70.67,87.33,13.93,5.88,0.15,17.02
32.33,59,14.75,6.05,0.31,17.2
52.5,62,14.1,6.68,0.5,16.92
39,98,13.97,5.55,0.53,17.68
68,132,15.65,5.55,0.48,16.25
80.75,101.5,15.35,5.85,0.38,16.62
NA,NA,16.97,6.83,0.66,22.75
NA,NA,15.2,7.8,0.49,16.08
57.67,89.33,15.67,6.97,0.46,15.33
42,89.75,13.7,6.25,0.45,15.85
46,85.5,14,6.25,0.28,16.25
40.75,107.25,14.25,5.67,0.31,16.25
33.75,102.75,14.6,6.05,0.4,16.95
36.67,104,13.83,7.55,0.43,16.37
42.33,61,14.02,9.18,1.09,14.75
45.25,122,13.8,7.55,1.58,15.5
35,114.25,13.53,12.43,1.6,17.05
48.25,124.25,21.07,13.53,1.32,44.92
54,111,23,10.33,1,42.02
57.5,131,17.5,8.33,0.38,11.25
52,62.67,16.93,7.43,0.35,15.8
56.25,91.75,16.98,4.82,0.16,16.05
57,122,17.77,4.15,0.14,16.6
59.5,121.75,18.07,4.48,NA,16.48
58.75,96.75,17,4.92,0.27,15.5
48.25,101.25,17.55,11.58,0.22,15.1
36.75,62.75,17.62,8.28,0.16,15.4
32.75,112,18.12,4.22,0.22,16.35
32.67,77.33,17.8,4.93,0.32,17.7
37.75,68.75,17.75,4.2,0.34,16.15
36,46,17.98,7.55,0.69,15.68
46.5,90.25,17.33,7.88,0.82,15.2
55.25,117.25,14.57,7.88,0.43,13.98
54,115.25,13.3,8,0.49,14.05
53.25,82.5,12.75,7.7,0.39,14.4
50.5,107,12.88,8.98,0.42,14.32
53.5,93.5,12.52,6.83,0.46,14.68
50.5,63.5,12.65,7.95,0.56,14.7
55.75,74.25,10.1,9.38,1.29,14.5
61.5,72.5,12.48,6.83,1.84,15.15
69,137.25,14.83,8.95,2.15,15.1
75,169.5,14.23,8.3,1.6,14.45
73.5,148.75,12.27,9.03,1.81,14.32
82.5,213,13.35,11.08,2.58,14.53
95.33,224.33,13.6,10.53,2.83,14.53
108,402.75,13.62,7.97,2.23,14.97
98.5,282.25,12.35,8.17,1.55,14.85
103,147.5,10.12,6.62,0.92,14.43
144.75,221.25,8.43,4.85,0.5,14.62
145,212.33,8.43,5.98,0.49,14.68
100,123.5,9.65,6.3,0.64,14.5
92.5,162.5,10.1,7.5,0.68,15.2
78.75,124.75,9.9,7.28,0.51,15.53
71,135.5,12.62,5.65,0.61,18.3
72.25,119,13.12,6.22,0.72,13.52
69.75,114,9.97,6.55,0.81,15.28
68.25,102.5,8.38,6.73,0.54,14.95
60.25,77,7.3,6.97,0.39,14.75
72.5,99,13.18,6.25,0.31,14.85
79.5,103.25,12.27,6.33,0.3,14.5
81.75,179.5,13.05,5.07,0.31,15.18
71.67,123.67,12.47,5.05,0.49,17.2
69.67,106.33,12.15,5.2,0.37,18.9
65,99.75,14.25,6.93,0.29,17.93
63.5,105.5,13.18,7.6,0.6,15.15
62.25,98.75,12.72,8.45,0.6,15.93
66.25,122,12.45,11.15,0.95,15.98
77.33,105,12.33,6.08,0.8,15.53
83.67,148.67,11.63,5.73,0.39,15.97
92.25,154,11.4,6.97,0.51,15.97
96.25,156.5,12.12,6.45,0.38,17.68
111.75,157.5,12.65,6.5,0.3,15.2
103.25,119.25,12.78,7.25,0.23,16.88
105.5,158.25,12.28,8,0.44,16.25
112.75,140,12.43,9.95,0.69,16.93
131,189.75,12.53,6.12,0.89,17.15
181.25,295.75,13.82,6.97,0.92,18.03
155,258.5,13.45,6.45,0.81,17.07
158,278.75,19.25,5.38,1.22,39.02
120,219.75,15.52,2.5,0.33,14.68
89.5,156,14.12,3.67,0.48,15
94.25,112.5,13.45,3.73,0.44,15.42
90,116,13.38,3.3,0.32,17.62
77.5,101.5,15.38,3.35,0.36,17.45
78.25,124.5,14.28,5.55,0.35,17.43
78,113,13.93,6.1,0.35,16.58
85,116,15.32,7.6,0.63,16.5
78.5,145,14.8,5.95,0.77,16.57
71.5,119.5,14.45,6.22,1.05,15.93
74,117.5,15.43,6.1,1.18,16.38
77,137.5,15,7.78,1.22,15.93
76.5,205.25,14.9,8.8,1.19,17.3
82,223.33,14.47,8.4,1.41,15.63
91.75,189,14.8,4.75,0.98,16.7
92.25,181.75,14.58,4.97,0.72,15.9
94.75,234.75,14.28,4.72,0.68,15.2
92.5,168.75,14.38,8.5,0.54,15.48
93.5,152.5,14.15,9.45,0.57,15.38
94.25,136.5,14.23,9.45,0.83,15
100,173.25,14.03,7.43,0.59,14.95
107,182.25,13.8,7.77,0.67,15.67
120.25,209.5,14,7.1,0.45,15.22
111.75,127,14.9,6.25,0.52,14.9
94,119,13.62,6.83,0.69,16.65
NA,NA,13.43,5.33,0.57,15.02
15,18,11.9,8.23,0.65,15.85
55.75,61,12.05,8.65,0.57,13.9
111.5,125.75,10.62,10.03,0.7,15.25
124.5,147,11.35,5.28,0.55,15.78
120,145.25,11.05,4.22,0.86,15.52
137,172,11.43,3.75,1.07,14.85
143.25,189,11.45,7.82,1.55,16.27
158.5,208.75,14.58,9.18,2.12,15.27
185,263.5,12.6,11.32,2.33,15.32
196.5,283,15.98,6.68,2.26,16.5
201.25,285.5,12.32,8.68,2.92,17.45
207,299.33,11,9.53,3.27,14.17
185.75,287.25,9.95,8.15,2,15.45
186.75,257.5,10.93,8.57,1.39,14.97
183.5,238.75,10.42,8.1,1.24,15.1
214,257,10.67,7.05,0.42,14.9
164.5,200.25,9.25,6.97,0.46,15.55
132.25,179.5,9.78,6.7,0.74,14.75
141.75,203,9.05,6.53,0.64,15
146,208.5,9.88,7.65,0.52,15.88
129.75,171,10.35,8.38,0.51,16.25
132,162.25,9.7,8.25,0.34,15.1
132.75,157.5,9.95,8.38,0.32,15.15
153.5,178,11.18,8.22,0.42,22.55
129.25,156.25,11.93,7.55,0.27,19.6
52.75,60.5,11,6.25,0.2,15.55
38.25,43.75,10.72,6.98,0.46,15.65
59.25,67.25,9.38,7.75,0.61,14.85
82,92.25,10,8.67,0.66,15.7
77.75,88,10.57,9.55,0.77,16.2
70.25,78.5,9.38,7.43,0.55,14.65
50.25,60,10.08,10.03,1.42,17.7
66.25,84.75,10.97,10.62,2.28,16.12
105.25,144.25,11.2,6.95,2.25,16.08
129.75,169.75,11.3,6.3,1.68,15.73
128.67,165.67,11.83,6.6,1.38,15.53
132.75,171.5,11.62,6.25,1.09,15.47
143.5,190.25,11.57,6.4,0.49,15.28
123,156.5,11.45,5.8,0.32,15.6
104,127.5,11.5,4.97,0.18,15.5
96.75,118.5,11.72,5.3,0.39,16.7
101,127,12.12,5.4,0.62,17.3
104,132,12.5,6.55,0.6,17.45
110.5,133,13.4,7.47,0.78,22.2
122.75,158.5,18.1,6.6,0.63,42.42
143,176.25,12.45,8.57,0.5,12.1
124.25,155,12.48,8.03,0.45,18.38
128.5,162.75,15.85,8.7,0.77,20.85
218.75,268.5,14.4,7.17,0.71,16.4
180.75,215,13.43,7.5,0.37,15.93
112.25,135,13.32,8.1,0.31,17.35
113.25,145,12.45,5.95,0.48,17.27
110,156,12.03,7.28,0.64,16.42
NA,NA,12.07,6.95,1.13,16.77
NA,NA,12.5,6.22,1.1,16.27
NA,NA,11.75,7.37,1.56,16.33
NA,NA,12.4,6,1.4,16.52
NA,NA,12.55,5.45,0.45,16.6
NA,NA,12.28,6.2,0.84,15.85
NA,NA,11.47,6.07,0.56,15.63
NA,NA,11.5,6.15,0.14,16.73
NA,NA,11.12,5.55,0.11,16.72
NA,NA,11.73,5.83,NA,17.85
NA,NA,11.45,5.95,0.1,17.27
NA,NA,12.02,6.17,0.54,17.7
NA,NA,11.7,6.6,0.12,17.65
NA,NA,12.5,5.48,0.47,17.45
NA,NA,11.7,5.65,0.35,16.68
NA,NA,11.7,8.62,0.47,16.5
NA,NA,13.93,5.9,0.37,23.95
NA,NA,13.3,5.02,0.44,18.12
NA,NA,8.62,5.8,0.59,12.47
NA,NA,13.05,5.4,0.52,22.8
NA,NA,8.9,5,0.43,12.38
NA,NA,10.55,4.55,0.42,17.8
23,46.33,9.9,5.65,0.27,14.67
NA,NA,15.47,6.15,0.48,35.83
43,NA,13.15,5.72,0.44,21.38
43.25,NA,15.03,7.42,0.37,21.67
48,NA,12.07,7.7,0.21,13.62
49.5,NA,15.1,9.25,1.27,19.07
61,NA,14.52,8.03,1.66,20.02
57.75,NA,15.12,6.2,0.63,14.97
30,NA,11.27,5.63,0.15,13.2
26.25,NA,9.8,6.5,NA,15.18
28.5,NA,9.4,6.95,NA,14.98
15.25,NA,8.58,8.32,NA,14.67
24.5,NA,8.38,5.9,0.26,14.62
17,NA,7.53,6.1,NA,15.3
17,NA,8.38,6.58,0.23,15.1
18,NA,8.47,6.6,0.44,15.12
19,NA,11.1,7.93,0.24,23.73
20.5,NA,11.53,7.83,0.61,19.75
30.75,NA,11.62,3.95,0.3,18.38
28.25,NA,14.1,3.93,0.67,29.43
35,NA,13.3,2.62,0.32,18.5
33.5,NA,12.73,5.88,0.48,18.45
24.25,NA,12.78,5.88,0.47,14.3
30,NA,13.32,5.8,0.48,19.25
NA,NA,13.32,7.22,0.39,15.53
NA,NA,12.82,7.08,0.5,15.62
NA,NA,13,7.22,0.37,16.12
NA,NA,14.22,7.6,0.32,16.83
NA,NA,13.62,7.8,0.43,15.93
NA,NA,12.62,8.7,0.72,16.93
NA,NA,11.53,7.05,0.49,16.98
NA,NA,11.9,7.1,0.22,17.68
NA,NA,10.63,9.1,0.38,17.3
NA,NA,11.15,7.7,0.1,15.05
NA,NA,10.25,7.63,NA,14.93
NA,NA,9.9,8.18,NA,14.23
NA,NA,10.93,5.07,NA,16.33
NA,NA,11.02,4.47,NA,15.25
NA,NA,10.72,5.47,0.6,14.65
NA,NA,12.55,7.2,0.39,14.5
NA,NA,10.8,6.95,0.69,14.4
NA,NA,10.65,7,0.39,15.05
NA,NA,11.15,6.9,0.56,18.15
NA,NA,10.75,NA,NA,NA
NA,NA,13.3,5.58,0.67,17.8
NA,NA,NA,5.47,0.87,21.2
NA,NA,14.1,4.97,0.88,18.48
NA,NA,16.48,5.35,0.82,19
NA,NA,13.05,6.88,0.77,18.52
NA,NA,13.1,7.6,0.78,20.25
NA,42,13.4,7.07,0.92,20.57
NA,NA,12.5,5.35,1.04,19.2
NA,NA,13.6,7.53,1.83,20.32
NA,NA,12.6,6.75,1.54,19.35
NA,NA,13.25,7.9,2.81,11.07
NA,NA,12.9,7.62,2.85,10.38
NA,NA,12.87,5,1.71,10.4
NA,NA,12.48,5.23,0.64,10.22
NA,NA,11.6,5.03,0.5,10.12
NA,NA,11.83,5.35,0.52,10.22
NA,NA,11.95,5.35,0.58,10.18
NA,NA,11.75,5.15,0.56,10.25
NA,NA,12.22,5.32,0.52,10.17
NA,NA,11.78,5.5,0.52,10.2
NA,NA,12.38,5.33,0.52,10.1
NA,NA,11.88,4.95,0.5,10.2
NA,NA,13,5.67,0.66,11.07
NA,NA,14.1,4.83,0.7,14.5
NA,NA,10.75,6.35,0.7,14.7
NA,NA,14.35,6.05,0.81,15.65
NA,NA,16.68,4.77,0.82,16.65
NA,NA,15.33,4.93,0.72,16.53
26,NA,15.12,4.82,0.86,16
26.25,NA,13.72,4.4,0.86,15.8
31.5,NA,13.48,4.45,1.13,15.53
42.75,NA,14.45,6.1,0.92,14.93
37.25,NA,14.35,6.28,1.16,13.48
43.25,NA,10.22,8.85,2.07,14.35
48.25,NA,13.02,8.08,2.17,11.75
54.5,NA,14.05,7.95,1.29,10.2
46,NA,12.8,4.67,0.78,10.1
32.75,NA,8.27,5.98,0.55,10.2
25,NA,9.4,5.62,0.54,10.15
27,NA,9.68,6.08,0.42,10.05
29,NA,9.32,7.38,0.4,10.27
26.25,NA,8.6,6.97,0.47,10.32
31.75,NA,8.52,7.72,0.59,10.25
28,NA,8.4,5.72,0.61,10.25
29.25,NA,8.7,5.58,0.66,10.15
31,NA,8.72,6.58,0.66,12.57
33,NA,8.78,6.05,0.77,14.65
36,NA,11.45,5.95,0.71,15.62
37.5,NA,13.12,5.9,0.74,15.55
31.25,NA,15.28,5.12,0.77,16.68
38.25,NA,12.65,5.7,0.82,17.75
41.25,NA,12.48,6.25,0.76,17.75
45.5,NA,13.15,7.02,0.74,16.9
35.25,NA,12.45,7.25,0.83,17.6
40.75,NA,13.5,6.97,0.85,17.77
34.5,NA,13.32,6.15,1.14,16.35
42,NA,13.45,7.62,1.97,14.03
45.25,NA,12.12,8.05,2.09,13.9
49.75,NA,12.47,7.4,1.69,13.85
89.25,NA,12.6,7.32,1.54,13.95
52,NA,12.23,7.33,1.71,14.37
42.75,NA,11.82,6.12,0.8,13.83
36.5,NA,11.83,5.55,0.69,13.23
29,NA,11.73,6.08,0.61,14
32,NA,11.07,5.83,0.59,14.53
33,NA,11.15,5.82,0.55,13.73
33.5,NA,12,5.92,0.63,13.98
21,NA,11.13,6.77,0.67,14.23
13.75,NA,12.18,7.42,0.53,14.28
30.25,NA,12.45,8.45,0.51,14.97
36,NA,11.5,6.15,0.53,15.28
35,NA,12.73,6.38,0.55,15.43
35.25,NA,12.55,6.55,0.59,15.65
43,NA,13.68,6.15,0.66,16.25
41.75,NA,14,8.03,0.59,16.77
38,NA,14.85,7.28,0.61,16.8
41,NA,14.65,7.12,0.63,17.02
43.33,NA,15.23,7.83,0.57,17.27
37,NA,15.12,7.83,0.71,16.92
38.75,NA,14.88,7.08,0.73,16.52
36.75,NA,15.4,6.95,0.79,16.15
55.5,NA,15.25,7.55,0.93,15.53
65.75,NA,14.95,7.3,1.49,15.1
58.5,NA,13.88,6.75,1.58,14.4
50,NA,14.63,8.63,2.13,13.87
50.75,NA,13.12,7.5,2.04,13.85
42.25,NA,13.88,6.98,1.39,13.95
44,NA,13.72,6.35,1.03,14
43.25,NA,13.93,4.83,0.69,14.55
46.5,NA,13.38,5.28,0.57,14.07
34.5,NA,13.25,5.8,0.61,14.2
26.25,NA,13.5,4.35,0.66,14.02
33,NA,13.47,5.17,0.88,13.95
35,NA,13.97,5.93,0.74,15.15
31.5,NA,14.78,6.83,0.9,16.4
41,NA,14.47,7.25,0.97,17.67
43,NA,16.3,6.17,0.91,20.3
44.25,NA,15.05,7.85,0.95,21.6
50.33,74,8.65,8.47,0.83,18.25
40.75,NA,11.6,8.8,0.93,16.5
38.25,NA,13.08,6.12,0.86,18.77
48.25,NA,13.22,5.85,0.98,18.08
52.5,NA,11.58,6,0.99,16.8
42.5,NA,13.22,6.72,1.01,17.08
54.5,79,12.82,6.58,1.37,16.52
51.75,130,14.08,6.35,1.94,14.55
47.25,130.25,15.4,7.03,1.98,14.6
52.5,128.75,12.78,6.15,1.89,14.15
41,122,12.5,6.23,1.63,14.97
43,112.75,11.4,9.28,1.95,14.02
43,130.75,10.88,10.85,2.32,14.35
65.5,155.5,10.95,9.45,1.98,14.1
56.75,NA,11.12,8.12,1.45,14.43
49.5,NA,10.82,8.35,1.5,14.2
62.75,NA,11.1,8.35,1.54,13.85
54,NA,10.28,5.97,1.41,14.2
57,NA,11.65,5.03,1.09,14.93
53.25,NA,11.65,4.72,1.17,15.38
58,NA,10.78,5,1.15,14.9
70.5,149,17.12,5.7,0.96,16.3
97.5,179,17.73,5.8,0.98,17.68
90.75,175.75,17.43,5.75,1.03,17.82
86.75,176.75,18.27,6.22,1,17.27
82,160.5,17.95,6.47,0.98,17.58
72,146,17.4,5.97,1.01,18.33
69.75,141,11.53,6.85,0.92,18.43
79.5,150.75,13.25,8.28,1.08,17.62
87.75,162,16.52,8.6,1.28,17.25
92.25,175.25,17.27,8.03,1.61,15.45
97.5,176.33,17.1,8.97,2.29,15.4
115.75,NA,16.48,7.95,2.23,16
114.25,NA,16.28,6.95,1.99,14.77
111,NA,15.7,6.03,1.87,14.33
112,NA,14.23,6.1,1.82,14.97
115.25,NA,14.97,6.62,1.97,15.65
114.5,NA,14.57,5.38,1.69,14.8
111.5,NA,13.7,6.38,1.7,14.02
113.5,NA,13.95,6.4,1.42,14.35
100,NA,13.8,5.58,1.4,14.78
105.5,NA,14.93,8.6,1.57,14.88
115.5,NA,14,7.92,1.42,14.73
119,NA,14.57,8.05,1.2,14.2
107.75,NA,14.6,8.65,0.97,14.7
102.25,NA,15.55,8.82,1.36,18.7
89.75,NA,9.78,9.43,1.33,20.2
83,NA,11.4,6.68,1.22,21.55
77,NA,10.43,7.52,1.11,20.43
54.75,NA,12.3,6.72,0.99,19.3
50.5,NA,9.33,6.12,0.94,21
59.5,NA,10.28,6.08,1.03,19.77
66.75,NA,11.4,6.8,1.17,22.15
59.75,NA,12.03,7.65,1.72,18.9
59.25,NA,15.03,8.32,3,15.25
86.25,NA,11.78,10.27,2.98,15.9
73,NA,9.45,7.45,3.17,14.02
71.25,NA,9.62,8.47,2.31,15
78,NA,11.7,5.57,1.56,15.37
60.75,NA,9.3,7.03,1.89,14.05
54.25,NA,9.12,8.93,2.53,14.85
78.75,NA,9.38,10.47,2.96,15.15
78.5,NA,9.88,11.52,2.62,15.08
89.75,NA,9.6,11.18,2.09,15.55
87,NA,9.12,10.9,2.19,14.83
84.5,NA,9.95,7.8,2.39,15.68
94,NA,12.38,7.67,2.45,28.03
112,NA,15.52,4.42,1.97,27.6
113.25,NA,15.62,8.85,2.11,20.27
118,NA,16.73,10.65,1.75,26.53
93,NA,15.38,8.8,1.26,17.93
69.25,NA,10.45,7.2,1.5,14.65
57,NA,11.95,8.25,1.5,18.1
75.5,NA,9.82,7.5,1.34,12.9
67.5,NA,9.68,5.4,1.28,16.78
79.75,NA,7.78,7.33,1.26,16.12
78,NA,9.72,6.42,1.79,15
77.75,NA,10.25,6.75,1.9,24.2
93.25,NA,9.35,8.15,2.4,13.93
79.5,NA,10.78,8.57,2.92,18.2
94,NA,9.85,8.68,2.55,21.23
97.25,NA,9.47,7.88,1.95,12.55
80,NA,10.13,7.77,1.77,19.63
85,NA,13.12,5.6,1.48,27.1
64.25,NA,14.05,4.12,1.1,20.62
70.25,NA,15.35,3.92,1.05,27.82
75.75,NA,16.77,4.75,0.97,17.4
69,NA,16.73,4.93,0.96,17.08
69.5,NA,16.33,5.53,1.12,16.2
58.25,NA,17.22,6.77,1.15,15.95
61.5,NA,16.35,6.55,1.14,14.93
54.75,NA,22.2,11.1,1.19,16.2
51,NA,23.85,10.07,1.44,19.38
52,NA,24.1,9.4,1.24,18.4
NA,NA,NA,NA,1.87,50
12,NA,57.55,3.75,1.21,14.25
12.75,NA,59.95,3.15,1.21,14.4
28.75,NA,62.1,3.2,1.31,14.18
22.5,NA,55.45,6.6,1.42,13.6
15.75,NA,53.1,6.53,1.58,14.25
34.5,NA,54.05,7.33,1.64,14.6
25,NA,57.23,6.93,1.33,14.4
25.5,NA,50.15,9.43,2.23,14.53
38.25,NA,51.93,8.5,1.59,14.2
25.5,NA,51.8,8.95,1.46,14.68
32,NA,47.67,9,1.21,14.9
29,NA,49.93,7.9,1.01,14.57
29.5,NA,47.95,6.22,0.8,13.85
19.25,NA,46.2,7.6,0.76,14.3
22.75,NA,47.98,7.1,0.78,14.43
36,NA,42.92,5.95,0.75,13.5
16.25,NA,44.4,5.52,0.74,14.05
21.25,NA,52.55,5.32,0.93,16.9
24.5,NA,69.75,5.55,1.07,16.48
33,NA,36.95,5.35,1.39,12.18
12.25,NA,44.25,6.15,1.44,15.32
17,NA,48.8,9.5,2.89,17.15
36.75,NA,63.8,8.72,2.11,19.07
54.5,NA,62.88,8.88,2.22,17
43.25,NA,60.55,5.9,1.97,16.18
46.5,NA,69.28,4.95,2.33,16.5
33,NA,72.8,4.47,2.41,15.93
35.25,NA,71.03,5.58,1.88,16.07
43,NA,70.68,5.42,1.5,14.38
22.5,NA,60.33,7.2,2.31,13.17
14.5,NA,55.83,7.32,2.27,14.73
24.75,NA,56.55,9.2,2.72,15.4
41.5,NA,50.2,8.9,2.47,15.55
53.25,NA,48.73,6.07,2.06,14.23
38.75,NA,49.75,5.6,1.26,14.82
33,NA,46.5,5.6,1.27,16.03
16.75,NA,46.85,6.97,0.97,14.05
13.5,NA,45.65,7.47,0.8,14.95
23.75,NA,41.92,7.4,0.74,15.02
39.5,NA,42.88,3.88,0.69,14.93
29.25,NA,43.67,3.4,0.72,14.97
31.25,NA,38.85,3.05,0.86,14.5
35.5,NA,46.07,5.52,1.01,15.2
43.25,NA,41.1,8.1,1.25,16.5
47.75,NA,57.25,10.67,1.33,30.95
43,NA,71.8,4.28,1.29,27.4
44.5,NA,51.93,2.08,1.34,159.95
54.75,NA,53.85,2.73,1.35,110.1
52,NA,56.23,5.53,1.22,98
51.5,NA,56.75,6.22,1.32,90.53
43.5,NA,54.27,6.38,1.2,93.72
35.25,NA,53.88,5.88,1.24,89.6
45.75,NA,55.48,5.5,1.61,95.27
59.25,NA,58.92,6.12,1.72,138.83
